ID,TOTAL.VALUE,TAX,LOT.SQFT,YR.BUILT,GROSS.AREA,LIVING.AREA,FLOORS,ROOMS,BEDROOMS,FULL.BATH,HALF.BATH,KITCHEN,FIREPLACE,REMODEL
2282,360.2,4531,4649,1950,2682,1201,1,7,3,2,0,1,0,None
2283,306.3,3853,5378,1920,2158,1276,2,7,3,1,0,1,1,Old
2284,363.8,4576,5194,1930,2779,1242,1.5,7,3,1,1,1,1,None
2285,430.3,5413,8840,1890,2989,1646,2,8,3,2,0,1,0,None
2286,573.7,7217,8742,2003,3833,2158,2,10,5,2,1,1,1,None
2287,310.4,3904,6525,1925,2585,1430,2,7,2,1,0,1,1,None
2288,285.3,3589,3856,1920,2112,1232,2,7,3,1,0,1,1,None
2289,357.4,4496,4000,1915,3954,1725,1,7,4,1,1,1,1,Old
2290,301.9,3797,6382,1940,2470,1084,1,6,3,1,0,1,1,None
2291,364,4579,6000,1922,3628,2021,2,10,6,1,1,1,0,Old
2292,451.5,5679,6000,1984,3856,2248,2,9,4,1,1,1,1,Recent
2293,534,6717,5852,2010,3976,2197,2,8,4,2,1,1,1,None
2294,329.6,4146,5355,1955,2204,1300,2,6,3,1,1,1,1,None
2295,310.5,3906,2275,1895,2760,2138,2.5,8,4,2,0,1,0,Recent
2296,326.9,4112,4163,1961,3019,1586,1.5,7,3,1,1,1,0,None
2297,366.2,4606,3584,1920,2823,1814,2,9,4,1,1,1,0,None
2298,268.1,3372,2275,1920,2821,1411,2,6,3,1,0,1,0,None
2299,450.1,5662,7312,1989,2948,1740,2,7,4,2,1,1,1,None
2300,336.2,4229,7196,1960,2776,1346,1.5,6,2,1,1,1,2,None
2301,359.1,4517,5577,1970,2573,1560,2,9,6,3,1,1,1,None
2302,496,6239,6483,2003,3165,1933,2,8,4,3,1,1,1,None
2303,435.8,5482,6000,1985,2814,1862,2,8,4,2,1,1,1,None
2304,285.8,3595,3256,1920,2513,1359,1.5,6,3,1,1,1,0,None
2305,435.4,5477,12679,1845,4236,2332,2,9,3,2,1,1,0,Old
2306,408.5,5138,6000,1984,2966,1862,2,8,4,1,1,1,1,None
2307,336.1,4228,9100,1908,2050,1207,2,6,3,1,0,1,0,None
2308,327.4,4118,6697,1920,2317,1396,2,7,3,1,0,1,1,None
2309,276.2,3474,4464,1950,1776,888,1,4,2,1,0,1,1,None
2310,443.1,5574,9377,1914,2782,1533,1.5,7,3,1,1,1,0,Old
2311,297.8,3746,8307,1925,1810,800,1,5,2,1,0,1,0,None
2312,363.7,4575,6059,1960,3401,1459,1.5,6,3,2,1,1,0,Old
2313,472.6,5945,8520,1960,3557,2598,1,10,4,2,1,1,1,Recent
2314,348.3,4381,3400,1920,2540,1632,2,9,4,1,1,1,1,None
2315,510.3,6419,4550,2003,4034,2381,2,8,5,2,1,1,0,None
2316,247.2,3109,4883,1993,2192,1072,1,4,2,1,1,1,0,None
2317,370.3,4658,10400,1940,3008,1366,1,6,3,1,1,1,0,None
2318,440.3,5538,7750,1985,3236,2016,2,9,4,1,1,1,1,None
2319,292.5,3679,5464,1960,2476,1118,1,6,3,1,0,1,0,Old
2320,543.5,6837,6000,2008,4392,2486,2,7,4,2,1,1,1,None
2321,475.2,5978,7831,1989,2844,1908,2,8,4,2,1,1,1,None
2322,327.3,4117,9551,1950,2964,1238,1,6,2,1,1,1,0,None
2323,404.6,5089,6000,1984,3352,1550,1.5,6,3,1,1,1,1,None
2324,300.1,3775,5675,1953,2614,1326,1.5,6,2,1,1,1,1,None
2325,425.6,5354,9576,1973,2604,1144,1,5,3,2,0,2,1,Recent
2326,275.8,3469,2277,1940,2262,1308,2,6,3,1,1,1,0,None
2327,372.3,4683,9100,1920,3084,1791,2,6,3,1,1,1,0,None
2328,380.9,4791,6458,1950,3000,1238,1,4,2,1,0,1,0,Old
2329,498.7,6273,7984,1950,3482,2102,1.5,10,4,3,1,2,1,Old
2330,404.6,5089,11651,1900,2684,1510,2,7,2,1,1,1,0,None
2331,304.1,3825,5433,1955,2304,1075,1,6,3,1,0,1,0,None
2332,466.9,5873,8720,1993,3216,1772,2,6,3,2,1,1,1,None
2333,291.1,3662,10400,1925,3203,1680,1.5,8,4,2,0,1,0,None
2334,299.5,3767,3075,1955,1888,1200,2,6,3,1,1,1,1,Old
2335,315.7,3971,2691,1962,2184,1368,2,6,3,1,1,1,1,Recent
2336,406.1,5108,5343,1917,2978,1756,2,7,4,1,1,1,1,Recent
2337,294.2,3701,6289,1940,2194,952,1,6,2,1,0,1,0,None
2338,468.7,5896,9100,1993,3216,1772,2,6,3,2,1,1,1,None
2339,297.4,3741,3218,1955,2181,1200,2,6,3,1,1,1,1,None
2340,304.9,3835,2841,1955,2192,1392,2,6,3,1,1,1,1,None
2341,413.8,5205,6000,1984,3155,1862,2,8,4,1,1,1,1,None
2342,378.9,4766,9118,1950,3526,1645,1.5,6,3,1,1,1,1,None
2343,386.1,4857,4600,1940,2786,1550,1.5,7,3,1,1,1,0,Recent
2344,528.2,6644,6454,1994,3038,2180,2,8,4,2,2,1,1,Recent
2345,416.9,5244,8930,1972,2304,1032,1,5,3,1,1,1,2,Old
2346,486.3,6117,9100,1993,3216,1772,2,9,3,2,1,1,1,None
2347,381.1,4794,10380,1933,2780,1479,1.5,6,2,1,1,1,1,Recent
2348,341.1,4291,5822,1960,2382,1104,1,6,3,2,0,1,1,None
2349,241.8,3041,5230,1954,1836,918,1,5,3,1,0,1,0,None
2350,269.5,3390,3716,1925,2598,1190,1,4,2,1,0,1,1,None
2351,262.8,3306,6913,1950,1722,852,1,5,2,1,0,1,1,None
2352,334.7,4210,6269,1950,2764,1268,1,6,3,2,0,1,1,None
2353,356.6,4486,6000,1984,2204,1400,2,6,3,2,0,1,1,None
2354,602.5,7579,8031,2009,4842,2639,2,7,4,2,1,1,2,None
2355,376.2,4732,6692,1963,2412,1104,1,5,2,1,0,1,1,None
2356,346.8,4362,5496,1960,2338,1593,1,6,3,1,1,1,1,None
2357,382.9,4816,4400,1920,1664,990,2,6,3,1,1,1,0,None
2358,284.2,3575,3403,1920,3100,1296,1,5,2,1,0,1,1,None
2359,288.5,3629,2669,1940,3303,1747,1.5,6,3,1,1,1,0,Old
2360,410.9,5169,8325,1930,3190,1990,2,6,3,1,1,1,0,Old
2361,351.7,4424,6600,1916,2551,1596,2,7,3,1,0,1,1,None
2362,427,5371,4080,1988,4374,1968,1.5,6,3,2,0,1,1,None
2363,279.5,3516,3835,1945,2442,1047,1,5,2,1,1,1,1,None
2364,273.6,3441,4888,1960,2430,1075,1,5,4,1,1,1,0,None
2365,334.8,4211,8414,1950,2320,1224,1.5,6,3,2,0,1,1,Recent
2366,378.9,4766,7782,1960,2644,1832,1,8,3,1,1,1,1,None
2367,251.1,3158,4098,1930,1960,980,1,5,2,2,0,1,0,None
2368,309.6,3894,5975,1965,2366,1104,1,5,2,1,0,1,0,None
2369,478.7,6022,10400,1950,3010,1944,2,7,3,2,1,1,0,Recent
2370,271.1,3410,6971,1960,1440,720,1,4,2,1,0,1,0,None
2371,384.3,4834,6000,1984,2918,1862,2,7,5,1,1,1,1,None
2372,306,3849,4950,1960,2338,1080,1,5,2,1,0,1,0,None
2373,304.3,3828,3710,1930,1873,1144,2,8,4,1,0,1,0,None
2374,253.8,3192,3675,1925,1732,810,1,5,2,1,0,1,1,None
2375,283.7,3568,6533,1920,2200,1000,1,5,2,1,0,1,0,None
2376,294.3,3702,4160,1940,1964,912,1,5,2,1,0,1,0,Recent
2377,501.8,6312,10400,1880,3670,2425,2,7,3,2,1,1,2,Recent
2378,730.3,9187,5818,2003,6180,3970,2.5,9,4,2,1,1,0,None
2379,281.6,3542,3086,1925,2331,1142,1.5,7,3,1,0,1,0,Old
2380,423.5,5327,6840,1917,3687,2339,2,8,4,2,1,1,1,Recent
2381,286.7,3606,4241,1950,2400,1075,1,6,3,1,0,1,1,None
2382,332.2,4179,6292,1960,2304,1075,1,6,3,1,1,1,0,Recent
2383,381,4792,6700,1955,2366,1889,1,8,4,1,1,1,1,None
2384,481.8,6061,8727,1994,3953,2052,2,7,3,2,1,1,1,Recent
2385,369.6,4649,6948,1973,2658,1075,1,6,3,1,1,1,1,None
2386,338.2,4254,5825,1960,2322,1080,1,6,3,1,0,1,0,Recent
2387,270.7,3405,3280,1910,1902,880,1,5,2,1,0,1,0,Recent
2388,398.8,5016,6000,1985,3320,1938,2,8,4,1,1,1,1,None
2389,537.5,6761,10400,1890,4198,2658,2,8,4,2,1,1,1,Old
2390,462.9,5823,8720,1994,3182,1738,2,6,3,2,1,1,1,None
2391,469.5,5906,9100,1994,3216,1772,2,8,3,2,1,1,1,None
2392,285.2,3587,5409,1960,1950,878,1,5,3,1,1,1,2,None
2393,353.1,4442,8450,1950,2766,1120,1,7,3,2,0,1,1,None
2394,344.7,4336,7242,1950,2255,1576,1,8,5,2,0,1,1,None
2395,271.2,3411,3200,1955,1857,1225,2,6,3,1,1,1,1,None
2396,313.4,3942,4050,1920,2536,1582,2,6,3,1,1,1,1,None
2397,347.225,4368,5006,1951,2602,1628,2,8,3,1,1,1,0,Old
2398,342.1,4303,6518,1930,2359,1434,2,6,3,1,0,1,1,None
2399,401.6,5052,10103,1950,2566,1430,1.5,6,2,2,0,1,1,Recent
2400,277,3484,3495,1915,3066,1310,1,6,3,1,0,1,0,None
2401,439.8,5532,8048,1900,3393,1977,2,8,4,3,1,1,0,Recent
2402,348.1,4379,7680,1960,2383,1090,1,5,4,1,0,1,1,Old
2403,290.7,3657,4225,1950,2384,1075,1,6,3,1,0,1,0,None
2404,372.7,4688,9408,1961,2222,1056,1,6,3,1,0,1,1,None
2405,226.265,2846,4815,1960,2208,1080,1,5,2,1,1,1,0,Recent
2406,280,3522,4600,1920,1861,864,1,6,3,1,0,1,1,None
2407,334.4,4206,3200,1955,1796,1176,2,7,3,1,1,1,1,Recent
2408,412.7,5191,7000,1984,3248,1938,2,8,4,1,1,1,1,None
2409,440.1,5536,4712,1927,4224,2291,1.5,9,3,2,0,1,0,None
2410,302.9,3810,5759,1955,2424,1075,1,6,3,1,1,1,0,None
2411,632.4,7955,5368,1987,6184,3880,2,9,3,2,0,1,1,None
2412,365.6,4599,14200,1960,2812,1204,1,5,2,1,1,1,1,None
2413,381.9,4804,5720,1970,2544,1620,2,7,3,1,1,1,1,None
2414,333.4,4194,11013,1900,2645,1532,2,6,3,1,1,1,0,None
2415,254.8,3205,3685,1960,1830,869,1,5,2,1,0,1,1,None
2416,298.5,3755,3200,1930,2102,1303,2,7,3,1,1,1,0,Recent
2417,353,4440,7617,1955,2424,1075,1,6,2,1,1,1,0,None
2418,317.8,3997,6004,1850,3235,1802,2,7,4,2,0,1,0,None
2419,333.8,4199,4913,1950,2310,1372,2,6,3,1,1,1,1,None
2420,314.7,3958,8612,1950,2430,1075,1,6,2,1,0,1,1,Old
2421,354.2,4455,8450,1950,2812,1474,1.5,7,4,1,1,1,1,None
2422,429.2,5399,7156,1965,3414,1795,1.5,10,4,2,1,1,0,None
2423,292.3,3677,9391,1935,1989,912,1,5,2,1,0,1,0,None
2424,365,4591,9334,1950,2888,1285,1,6,3,1,1,1,1,None
2425,324.1,4077,5668,1950,3263,1347,1,7,3,1,0,1,1,Old
2426,307,3862,5606,1950,2496,1171,1,6,3,1,1,1,0,None
2427,275,3459,6778,1951,1649,966,1,5,3,1,0,1,0,None
2428,368.1,4630,4965,1960,2954,1571,1.5,6,3,2,0,1,1,Old
2429,331.9,4175,8530,1961,2262,1056,1,6,3,1,0,1,1,None
2430,315.3,3966,8040,1960,1756,864,1,6,3,1,0,1,1,None
2431,332.9,4187,4250,1955,2622,1360,1.5,8,3,2,0,1,1,None
2432,354.9,4464,3200,1929,3653,2404,1,7,3,1,2,1,0,Recent
2433,266.4,3351,5522,1954,1266,1246,1,6,3,1,0,1,1,Old
2434,258.6,3253,4052,1955,1654,827,1,4,2,1,0,1,1,None
2435,482.8,6073,5832,1989,3268,2016,2,7,3,2,1,1,1,None
2436,298.6,3756,3928,1950,2460,1346,1.5,6,2,1,1,1,1,None
2437,352.6,4435,5304,1954,2994,1672,2,7,3,1,1,1,1,None
2438,365.8,4601,10354,1958,3048,1422,1,6,4,2,0,1,0,None
2439,415.1,5221,6460,1980,3084,1666,1.5,9,4,2,0,1,0,Recent
2440,432.8,5444,10400,1910,3484,2282,2,9,3,2,0,1,1,Recent
2441,307.9,3873,3914,1920,2026,1288,2,8,4,1,0,1,0,None
2442,298.1,3750,4052,1959,2463,1313,1.5,6,3,2,0,1,1,Recent
2443,431.3,5425,23115,1903,2448,1488,2,6,3,1,1,1,1,None
2444,270.6,3404,4550,1950,2374,1075,1,6,3,1,0,1,1,None
2445,315.9,3974,6821,1951,1394,1360,1,7,3,2,1,1,1,None
2446,599.1,7536,4968,1989,5076,2870,2,10,4,2,2,1,1,None
2447,470.8,5922,6070,1930,4028,2256,2.5,7,4,2,0,1,0,Recent
2448,303.3,3815,5931,1950,2707,1415,1,6,3,1,1,1,1,None
2449,334.5,4208,5652,1961,2643,1155,1,6,2,1,1,1,1,None
2450,346.8,4362,8415,1960,2650,1148,1,5,3,1,0,1,1,None
2451,377.6,4750,7077,1920,2487,1436,2,9,3,2,0,1,0,None
2452,438.9,5521,7400,1910,2900,1666,2,6,3,1,1,1,0,None
2453,279.1,3511,8527,1950,1700,768,1,5,2,1,0,1,0,Old
2454,247.8,3117,3300,1963,1818,864,1,5,2,1,0,1,1,None
2455,404.7,5091,6066,1963,2526,1470,2,8,4,1,2,1,1,None
2456,323.5,4069,4171,1922,3239,1456,1,8,4,2,0,1,0,Recent
2457,346,4352,10400,1960,2304,1120,1,6,3,1,0,1,1,None
2458,332.8,4186,6016,1960,1912,864,1,6,3,2,0,1,1,None
2459,412,5182,6067,1963,3153,1834,2,9,4,2,1,1,1,Recent
2460,319,4013,6576,1955,2726,1220,1,6,2,1,0,1,0,None
2461,388.1,4882,4840,1950,2928,1538,1,5,2,1,0,1,1,None
2462,384.6,4838,10400,1910,2811,1728,2,8,2,2,0,1,0,None
2463,308.3,3878,4137,1890,2940,1706,2,8,4,1,1,1,1,None
2464,345.4,4345,6067,1963,2190,1470,2,7,4,1,2,1,1,None
2465,317.2,3990,5559,1960,2220,1377,2,6,3,1,1,1,1,None
2466,409.6,5152,5431,1950,3684,1712,2,8,4,1,1,1,0,Old
2467,378.7,4764,6500,1960,4040,2560,2,10,3,1,1,1,1,Recent
2468,773.5,9730,7449,2004,6960,3929,2,12,4,5,0,1,1,None
2469,318.4,4005,3300,1963,2447,1306,1.5,6,3,2,0,1,1,None
2470,294.3,3702,6500,1960,2348,1075,1,6,3,1,0,1,1,None
2471,319,4013,4514,1935,2988,1571,1.5,6,3,2,0,1,0,None
2472,545.4,6861,4968,1989,3909,2312,2,7,3,3,1,1,2,None
2473,593.4,7464,7196,2010,4531,2850,2,8,4,2,1,1,1,None
2474,353.7,4449,5552,1915,3601,1973,2,7,3,1,0,1,0,None
2475,388.9,4892,3700,1987,2456,1380,2,7,3,2,1,1,0,None
2476,279.5,3516,5729,1950,1920,960,1,5,3,1,1,1,1,None
2477,297.6,3743,10305,1960,1726,850,1,4,2,1,0,1,1,None
2478,335.3,4218,5610,1955,3036,1637,1.5,6,3,2,0,1,2,Old
2479,341.2,4292,5000,1910,2058,1095,1.5,6,2,1,1,1,0,Old
2480,328.9,4137,6600,1950,2446,1152,1,7,3,1,0,1,1,None
2481,357.4,4496,3364,1920,2717,1389,1.5,6,3,1,1,1,2,None
2482,282.5,3553,4013,1960,2736,1210,1,6,3,1,0,1,1,None
2483,229.1,2882,3620,1936,1996,950,1,5,2,1,0,1,0,Old
2484,333,4189,5900,1960,2880,1357,1,5,2,1,0,1,0,Old
2485,333.7,4197,3737,1945,2686,1251,1,7,4,2,0,1,0,None
2486,530.6,6674,5076,1989,3900,2354,2,7,3,3,1,1,1,None
2487,468.3,5891,13065,1965,2880,1469,1.5,7,3,2,0,1,1,None
2488,448.3,5639,6799,1940,2708,1568,2,7,4,2,0,1,1,Old
2489,252.3,3173,5203,1950,1896,948,1,5,2,1,1,1,0,None
2490,388.9,4892,4293,1920,2778,1422,1.5,6,2,1,2,1,0,Old
2491,374.1,4706,5387,1959,3086,1666,1.5,6,3,1,1,1,1,Old
2492,442.1,5561,5500,1981,2528,1306,1.5,7,3,2,0,1,0,Old
2493,569.2,7160,7000,0,4732,2641,2,8,4,2,1,1,1,Recent
2494,265.6,3341,4639,1960,2062,988,1,5,3,1,0,1,1,None
2495,279.6,3517,3043,1925,1926,1200,2,7,3,1,0,1,0,None
2496,339.4,4269,3442,1959,2488,1536,2,7,3,2,0,1,1,Old
2497,302.9,3810,3854,1951,2722,1484,2,6,3,1,1,1,0,None
2498,397.7,5003,6427,1992,2758,1690,2,7,4,2,1,1,1,None
2499,269.3,3387,4200,1925,1814,857,1.5,6,3,1,0,1,0,Recent
2500,356.1,4479,7120,1920,2326,1194,1.5,6,3,1,0,1,0,Recent
2501,228.7,2877,3760,1936,2118,950,1,5,2,1,0,1,0,None
2502,363.2,4569,6600,1960,2916,1350,1,7,3,1,0,1,1,None
2503,281.7,3543,6920,1960,2610,1190,1,6,3,1,0,1,1,None
2504,401.4,5049,9230,1930,2487,1554,2,7,3,2,1,1,1,None
2505,507.9,6389,4968,1993,3620,2240,2,7,3,3,1,1,2,None
2506,327.1,4114,5850,1950,2447,1075,1,5,2,1,0,1,1,None
2507,283.3,3563,4059,1960,2609,1092,1,6,3,1,0,1,1,None
2508,272.3,3425,5400,1960,2132,1056,1,5,2,1,0,1,1,None
2509,355.8,4475,4500,1973,2389,1545,2,7,3,1,1,1,1,Old
2510,373.6,4699,9344,1955,2768,1387,1.5,6,3,1,1,1,1,Recent
2511,552.2,6946,6932,2002,4436,2832,2,7,3,3,0,1,1,None
2512,328.1,4127,4147,1929,3410,1295,1,5,2,1,0,1,1,Recent
2513,280.1,3523,4013,1960,2372,1042,1,6,2,1,0,1,1,Old
2514,394,4956,6600,1981,2502,1306,1.5,6,3,2,0,1,0,None
2515,343.4,4319,6106,1920,2598,1437,2,7,3,1,0,1,0,None
2516,544.4,6848,4968,2006,3769,2167,2,7,4,3,1,1,1,None
2517,304.8,3834,9368,1960,2164,912,1,5,2,1,0,1,1,None
2518,347.5,4371,6346,1957,2242,1056,1,5,3,1,0,1,0,Recent
2519,296.3,3727,7800,1960,1944,960,1,5,2,1,1,1,1,None
2520,266,3346,4026,1940,2520,1047,1,6,3,1,1,1,1,None
2521,514.4,6471,11232,1970,4176,2820,1,8,4,1,1,1,0,Old
2522,299.7,3770,5525,1894,2626,1427,1.5,7,2,1,1,1,0,None
2523,269.5,3390,4585,1960,1944,960,1,5,3,1,0,1,1,None
2524,341.8,4299,9230,1913,3289,1517,1,7,2,1,0,1,0,Recent
2525,518.3,6520,7877,1951,3644,2150,2,9,6,2,0,1,0,Recent
2526,395.5,4975,4714,1960,3072,2000,2,6,4,2,1,1,1,Old
2527,296.6,3731,4500,1905,2296,1121,1.5,6,3,1,0,1,0,Old
2528,300.6,3781,5588,1960,2437,1265,1.5,6,3,1,1,1,1,Old
2529,323.6,4070,4050,1920,1910,984,2,6,3,1,0,1,1,None
2530,476,5988,12180,1965,3591,2167,1,8,3,2,0,1,1,Recent
2531,267.3,3362,3704,1950,1748,864,1,5,2,1,0,1,1,None
2532,298.3,3752,4400,1956,2339,960,1,5,3,1,0,1,0,None
2533,383,4818,4764,1920,3753,2177,2,6,3,1,1,1,1,Old
2534,359.5,4522,6600,1981,2732,1306,1.5,6,2,2,0,1,0,None
2535,282.8,3557,3750,1945,2286,1254,1.5,6,3,2,0,1,1,None
2536,354.8,4463,5063,1966,2549,1306,1.5,7,3,2,0,1,0,None
2537,365.3,4595,6624,1983,2635,1387,1.5,5,3,1,1,1,1,Recent
2538,290.1,3649,4527,1933,2142,1344,2,6,3,1,0,1,0,None
2539,541.1,6807,7616,2001,4442,2591,2,8,4,2,1,1,1,None
2540,399.8,5029,13865,1925,3192,1650,1.5,8,3,1,1,1,0,Recent
2541,381.9,4804,5841,1920,2661,1758,2,7,3,1,1,1,1,None
2542,469.3,5903,5500,1907,2976,1984,2.5,8,4,2,1,1,0,Recent
2543,300,3774,4780,1950,2072,864,1,7,2,1,1,1,1,None
2544,393.4,4948,7104,1930,3729,2081,2,7,3,1,1,1,0,None
2545,276.7,3480,3750,1950,2263,1050,1,5,3,1,0,1,0,None
2546,277.2,3487,4680,1950,1788,864,1,5,2,1,0,1,1,None
2547,266.2,3348,4127,1960,2364,1075,1,6,3,1,0,1,0,None
2548,550.5,6925,5400,1991,5032,2924,2,7,3,1,1,1,1,None
2549,410,5157,6391,1920,3208,1824,2,7,3,1,1,1,0,None
2550,318.4,4005,4050,1959,2570,1445,1.5,8,3,2,0,1,1,None
2551,307,3862,6399,1957,2220,1056,1,6,2,1,0,1,0,None
2552,272.9,3433,4523,1920,3188,1420,1,4,2,1,0,1,0,None
2553,376.8,4740,4960,1950,2634,1536,1.5,7,3,2,0,1,0,Recent
2554,305.5,3843,5980,1961,2696,1155,1,6,3,1,1,1,1,None
2555,415.4,5225,5681,1960,3052,1872,2,8,4,1,1,1,1,None
2556,337.8,4249,5750,1920,2749,1595,2,7,3,1,1,1,1,Old
2557,459.4,5779,12960,1970,2561,1270,1,7,3,1,1,1,1,None
2558,632.8,7960,7498,2004,4481,2762,2,8,4,2,1,1,1,None
2559,496.1,6240,6832,2001,3334,2186,2,7,4,2,1,1,1,None
2560,233.6,2938,3600,1932,1904,864,1,5,2,1,0,1,0,Recent
2561,286.3,3601,10400,1875,1780,972,1.5,5,2,1,0,1,0,None
2562,303.3,3815,5536,1925,3003,1396,1,6,2,1,1,1,0,Recent
2563,284.6,3580,4818,1950,2243,998,1,6,2,1,0,1,1,None
2564,386.2,4858,5400,1961,2876,1561,1.5,8,4,1,1,1,1,None
2565,490.8,6174,6022,1999,2604,1680,2,8,3,2,1,1,1,None
2566,284.9,3584,4144,1960,2368,1306,1.5,6,3,2,0,1,0,None
2567,350.2,4405,5484,1928,2754,1560,2,8,3,1,0,1,0,None
2568,347.8,4375,6124,1957,2256,1100,1,8,1,1,0,1,1,None
2569,389.6,4901,6600,1951,3084,1383,1,7,3,1,1,1,1,None
2570,506.2,6368,7800,2001,3354,2186,2,7,4,2,1,1,1,None
2571,321.5,4044,4935,1950,2270,1224,1.5,6,3,2,0,1,0,None
2572,295,3711,5407,1900,2273,1284,1.5,6,3,1,1,1,0,None
2573,303.5,3818,5214,1920,2256,1344,2,7,3,1,0,1,0,None
2574,288.1,3624,5603,1961,2063,864,1,5,2,1,0,1,1,Old
2575,314.2,3952,5782,1920,3264,1456,1,7,4,1,0,1,0,None
2576,356.1,4479,6790,1925,2525,1350,2,6,3,1,0,1,0,Recent
2577,407.9,5131,4010,1920,3174,2080,2,8,4,3,0,1,0,Recent
2578,358.6,4511,4080,1969,2768,1503,1.5,8,3,1,0,1,1,None
2579,496.1,6240,9858,1952,4612,2038,1,12,5,3,0,2,2,None
2580,475.5,5981,5669,1960,4108,2246,2,8,4,2,0,1,1,Recent
2581,298.4,3753,4068,1956,2988,1399,1,5,2,1,1,1,1,Old
2582,338.1,4253,5569,1948,2551,1008,1,6,3,1,0,1,1,None
2583,339.2,4267,5663,1957,2247,1056,1,6,3,1,1,1,0,None
2584,308.4,3879,4554,1920,1880,1232,2,7,3,1,1,1,0,None
2585,440.1,5536,14146,1940,2792,1924,2,6,3,1,0,1,0,Recent
2586,594.6,7480,6881,2004,4171,2582,2,8,4,2,1,1,1,None
2587,460.8,5796,13059,1890,2053,1262,2,6,3,1,1,1,0,None
2588,314.7,3958,6735,1935,2732,1176,1,8,3,2,1,1,0,None
2589,320.4,4030,4864,1950,2468,1680,2,6,3,2,0,1,0,Recent
2590,351.5,4421,6918,1935,2756,1632,2,7,4,1,1,1,1,None
2591,448.4,5640,11973,1890,4240,2136,1.5,5,3,2,1,1,1,Recent
2592,316.5,3981,4250,1955,2524,1370,1.5,6,3,2,0,1,1,Recent
2593,505.4,6357,7800,2001,3359,2198,2,7,3,2,1,1,1,None
2594,456.1,5737,8088,1910,2346,1586,2,6,3,1,1,1,0,Old
2595,366.9,4615,5656,1928,2342,1450,2,7,3,1,0,1,0,None
2596,278.5,3503,4046,1961,2480,1120,1,5,2,1,0,1,1,None
2597,318.3,4004,5087,1956,2568,1306,1.5,6,3,1,1,1,1,None
2598,351.8,4425,6600,1950,2786,1109,1,6,4,1,0,1,1,None
2599,385.3,4847,6382,1960,2949,1503,1.5,7,3,1,1,1,1,None
2600,419.4,5276,6024,1967,2743,2034,1,9,3,1,1,1,2,None
2601,294.3,3702,6119,1800,2244,1154,1.5,6,3,2,0,1,1,None
2602,414.7,5216,4968,1961,2796,1782,2,7,4,2,1,1,1,Recent
2603,581.8,7319,9020,1988,5196,2421,2,10,3,2,1,1,1,None
2604,591.8,7444,7465,2004,3908,2402,2,8,4,2,1,1,1,None
2605,507.4,6383,7800,2001,3463,2170,2,8,4,2,1,1,1,None
2606,325.1,4089,7220,1935,1992,840,1,5,2,1,0,1,0,Old
2607,292.5,3679,4422,1870,2725,1291,1.5,6,3,1,1,1,0,Old
2608,621.6,7819,8106,2001,2946,2788,2,11,3,3,1,1,1,None
2609,289.1,3636,5445,1950,2520,1075,1,7,3,1,1,1,0,Old
2610,423,5321,9451,1900,2811,1382,1.5,8,4,1,1,1,1,Old
2611,317.5,3994,5323,1957,2335,1125,1,6,2,1,1,1,2,None
2612,313.4,3942,6036,1945,2244,1028,1,5,2,1,0,1,1,Old
2613,343.9,4326,5651,1930,3384,1748,1.5,7,3,2,0,1,0,None
2614,378.2,4757,3672,1930,2609,1552,2,8,3,1,1,1,1,Recent
2615,337.4,4244,6600,1930,2447,1226,1.5,7,3,1,1,1,0,None
2616,351.2,4418,9136,1920,2428,1149,1.5,7,3,1,0,1,1,None
2617,350.6,4410,5899,1956,2810,1650,2,7,3,2,0,1,1,Old
2618,308.7,3883,3788,1956,2184,1464,2,7,4,1,1,1,1,None
2619,337.1,4240,5732,1920,2874,1348,1.5,6,3,1,0,1,0,None
2620,431.3,5425,10259,1959,3040,1958,1.5,8,3,2,1,1,1,Recent
2621,311.7,3921,6600,1950,2448,1109,1,6,3,1,0,1,1,None
2622,292.3,3677,4000,1900,2591,1468,1.5,7,3,1,1,1,0,None
2623,237.5,2987,4020,1960,1832,902,1,5,2,1,0,1,1,None
2624,417.1,5247,6694,1967,3216,1862,1.5,8,3,1,1,1,1,Old
2625,502.6,6322,4954,1985,3458,2112,2,6,3,2,1,1,1,None
2626,305.1,3838,6314,1950,2612,1306,1.5,6,3,1,1,1,0,None
2627,304.5,3830,4305,1971,2880,1562,1.5,7,3,3,0,1,0,None
2628,343.2,4317,5565,1957,2748,1125,1,6,2,1,1,1,1,Old
2629,350.9,4414,8116,1910,2726,1500,2,8,5,1,0,1,0,None
2630,655.3,8243,7387,2005,5106,3001,2,8,4,2,1,1,1,None
2631,383.3,4821,6036,1935,3029,1580,1.5,7,3,1,1,1,0,Recent
2632,252,3170,4242,1940,2036,928,1,5,2,1,0,1,1,Old
2633,396.5,4987,7480,1950,3080,1816,2,7,3,1,1,1,0,None
2634,322.1,4052,4875,1920,2409,1014,1,6,3,1,0,1,0,Old
2635,397.2,4996,12376,1900,2522,1571,1.5,6,2,1,1,1,0,Old
2636,339.2,4267,5879,1950,3144,1841,1.5,6,3,2,0,1,1,Old
2637,295.4,3716,6338,1900,2140,1018,1.5,6,2,1,0,1,0,None
2638,455.6,5731,5220,1967,3123,1984,2,8,4,2,1,1,0,None
2639,272.9,3433,4698,1930,2200,1058,1,5,2,1,0,1,1,None
2640,655.5,8246,7397,2004,5106,3001,2,8,4,2,1,1,1,None
